year,month,customer_id,deposit_count,purchase_count,withdrawal_count
2020,1,376,4,2,1
2020,1,169,2,2,1
2020,1,402,3,0,1
2020,1,60,2,1,0
2020,1,378,3,1,0
2020,1,499,4,1,2
2020,1,276,2,4,1
2020,1,410,2,1,0
2020,1,472,2,0,1
2020,1,338,2,1,0
2020,1,374,3,2,1
2020,1,21,3,1,1
2020,1,69,3,1,1
2020,1,32,3,2,1
2020,1,206,2,1,2
2020,1,407,2,0,1
2020,1,351,2,1,1
2020,1,265,3,0,1
2020,1,93,2,0,1
2020,1,267,2,1,1
2020,1,129,2,0,1
2020,1,198,2,1,0
2020,1,26,2,0,1
2020,1,46,2,1,0
2020,1,96,4,1,1
2020,1,380,2,2,1
2020,1,91,2,1,2
2020,1,500,5,0,1
2020,1,311,2,1,0
2020,1,70,2,1,3
2020,1,394,5,1,1
2020,1,5,2,0,1
2020,1,382,2,1,1
2020,1,412,2,1,0
2020,1,331,2,1,2
2020,1,293,2,1,1
2020,1,172,2,0,1
2020,1,61,3,1,1
2020,1,301,2,1,1
2020,1,288,3,1,0
2020,1,219,2,1,0
2020,1,418,3,1,3
2020,1,223,4,1,1
2020,1,299,4,0,1
2020,1,16,3,4,1
2020,1,442,2,1,0
2020,1,264,2,1,0
2020,1,134,5,1,0
2020,1,372,4,1,1
2020,1,419,2,0,1
2020,1,154,2,2,1
2020,1,405,2,5,1
2020,1,492,3,3,1
2020,1,131,4,1,2
2020,1,58,2,0,1
2020,1,359,3,1,0
2020,1,146,2,1,2
2020,1,368,2,0,1
2020,1,221,4,1,0
2020,1,298,3,2,1
2020,1,66,4,1,0
2020,1,226,2,1,2
2020,1,447,5,1,1
2020,1,271,2,2,1
2020,1,353,2,1,1
2020,1,432,2,1,0
2020,1,268,5,1,1
2020,1,242,3,1,0
2020,1,280,3,0,1
2020,1,434,3,0,1
2020,1,389,2,1,1
2020,1,216,5,1,1
2020,1,483,4,1,0
2020,1,210,2,0,1
2020,1,413,2,0,1
2020,1,467,5,1,0
2020,1,211,2,1,0
2020,1,47,2,1,2
2020,1,83,2,1,0
2020,1,35,2,2,1
2020,1,290,2,1,0
2020,1,181,2,1,3
2020,1,149,2,1,0
2020,1,86,5,0,1
2020,1,209,2,1,1
2020,1,259,4,3,1
2020,1,232,3,1,0
2020,1,461,5,1,2
2020,1,391,2,1,0
2020,1,45,4,4,1
2020,1,49,2,1,2
2020,1,358,2,1,1
2020,1,90,3,1,1
2020,1,395,2,2,1
2020,1,13,3,1,1
2020,1,42,2,0,1
2020,1,360,2,1,4
2020,1,88,2,1,0
2020,1,139,2,3,1
2020,1,175,4,2,1
2020,1,213,2,1,1
2020,1,8,2,1,0
2020,1,377,2,0,1
2020,1,97,2,2,1
2020,1,283,4,1,4
2020,1,251,2,1,1
2020,1,183,2,1,1
2020,1,297,3,1,1
2020,1,431,2,1,0
2020,1,324,2,1,0
2020,1,27,3,1,3
2020,1,445,3,1,0
2020,1,233,4,1,0
2020,1,491,2,1,1
2020,1,189,3,1,1
2020,4,309,2,1,1
2020,2,309,2,4,1
2020,3,309,2,1,0
2020,2,312,2,1,0
2020,3,376,3,1,3
2020,2,188,3,0,1
2020,3,138,2,1,1
2020,4,373,2,1,0
2020,3,169,2,1,1
2020,2,378,5,0,1
2020,2,499,3,1,1
2020,3,130,3,1,0
2020,2,441,3,1,1
2020,4,441,2,3,1
2020,4,53,2,1,0
2020,2,152,3,2,1
2020,3,123,2,1,0
2020,4,123,2,2,1
2020,3,100,2,2,1
2020,3,56,3,2,1
2020,2,357,2,0,1
2020,3,369,2,1,0
2020,2,338,2,1,1
2020,3,338,3,0,1
2020,2,296,3,1,2
2020,3,374,2,2,1
2020,2,135,3,2,1
2020,2,32,2,0,1
2020,4,269,2,1,0
2020,3,269,3,0,1
2020,2,460,2,1,2
2020,2,339,5,1,1
2020,4,291,2,1,0
2020,3,50,3,2,1
2020,2,366,6,1,4
2020,4,89,3,2,1
2020,3,129,2,1,0
2020,2,104,2,0,1
2020,3,454,4,2,1
2020,2,96,3,1,1
2020,2,55,3,2,1
2020,4,122,3,1,3
2020,3,36,3,1,0
2020,2,238,2,0,1
2020,2,143,3,1,0
2020,3,406,6,0,1
2020,2,487,4,1,2
2020,3,142,2,1,1
2020,2,380,2,1,2
2020,3,95,3,2,1
2020,2,95,3,1,3
2020,3,91,2,2,1
2020,4,144,3,2,1
2020,3,144,2,0,1
2020,2,475,2,1,1
2020,3,500,3,3,1
2020,2,500,2,1,0
2020,3,384,2,1,2
2020,2,311,2,0,1
2020,3,287,3,1,1
2020,3,284,3,3,1
2020,4,284,2,1,1
2020,2,67,2,1,0
2020,3,67,2,1,1
2020,2,70,2,1,0
2020,2,236,2,0,1
2020,2,234,3,1,2
2020,4,420,2,1,1
2020,3,330,3,4,1
2020,2,330,2,1,1
2020,2,217,5,1,3
2020,3,382,3,1,2
2020,3,257,3,1,3
2020,2,416,4,1,2
2020,2,320,2,3,1
2020,4,348,2,1,0
2020,2,375,2,1,1
2020,2,344,5,2,1
2020,3,344,4,1,2
2020,2,261,2,0,1
2020,4,367,3,0,1
2020,4,108,3,2,1
2020,2,331,2,1,3
2020,4,218,2,0,1
2020,2,365,2,1,1
2020,4,98,2,0,1
2020,2,10,2,1,1
2020,4,160,2,1,0
2020,2,301,2,3,1
2020,3,301,4,6,1
2020,3,219,4,1,0
2020,4,167,3,1,3
2020,2,167,3,2,1
2020,3,350,2,3,1
2020,4,304,2,0,1
2020,3,343,2,0,1
2020,2,343,4,1,1
2020,2,364,3,1,3
2020,2,299,3,1,0
2020,3,299,2,3,1
2020,3,390,2,2,1
2020,2,165,2,1,1
