customer_id,txn_date,txn_amount,customer_balance
1,2020-01-02,312,312
1,2020-03-05,612,924
1,2020-03-17,324,1248
1,2020-03-19,664,1912
2,2020-01-03,549,549
2,2020-03-24,61,610
3,2020-01-27,144,144
3,2020-02-22,965,1109
3,2020-03-05,213,1322
3,2020-03-19,188,1510
3,2020-04-12,493,2003
4,2020-01-07,458,458
4,2020-01-21,390,848
4,2020-03-25,193,1041
5,2020-01-15,974,974
5,2020-01-25,806,1780
5,2020-01-31,826,2606
5,2020-03-02,886,3492
5,2020-03-19,718,4210
5,2020-03-26,786,4996
5,2020-03-27,412,6108
5,2020-03-27,700,6108
5,2020-03-29,852,6960
5,2020-03-31,783,7743
5,2020-04-02,490,8233
6,2020-01-11,831,831
6,2020-01-14,40,882
6,2020-01-14,11,882
6,2020-01-18,66,948
6,2020-01-25,796,1744
6,2020-01-28,777,2521
6,2020-02-10,962,3483
6,2020-02-24,240,3723
6,2020-02-27,106,3998
6,2020-02-27,169,3998
6,2020-03-01,500,4498
6,2020-03-03,582,5080
6,2020-03-04,250,5330
6,2020-03-10,619,5949
6,2020-03-15,763,6712
6,2020-03-16,535,7247
6,2020-03-23,968,8215
6,2020-03-26,484,8699
6,2020-03-31,405,9104
7,2020-01-20,964,964
7,2020-02-03,77,1041
7,2020-02-06,688,1729
7,2020-02-11,93,1822
7,2020-02-22,617,2439
7,2020-02-29,888,3327
7,2020-03-03,328,3655
7,2020-03-04,29,3684
7,2020-03-10,723,4407
7,2020-03-16,962,5369
7,2020-03-22,44,5413
7,2020-04-04,525,5938
7,2020-04-17,615,6553
8,2020-01-15,207,207
8,2020-01-28,566,773
8,2020-01-30,946,1719
8,2020-02-06,180,1899
8,2020-03-05,956,2855
8,2020-03-27,775,3630
8,2020-03-28,178,3808
8,2020-03-30,467,4275
8,2020-04-11,323,4598
8,2020-04-13,649,5247
9,2020-01-21,669,669
9,2020-01-25,180,849
9,2020-02-15,195,1044
9,2020-03-04,381,1425
9,2020-03-05,982,2407
9,2020-03-10,13,2420
9,2020-03-16,446,2866
9,2020-04-09,976,3842
9,2020-04-10,699,4541
9,2020-04-16,953,5494
10,2020-01-13,556,556
10,2020-01-15,775,1331
10,2020-01-18,437,2506
10,2020-01-18,738,2506
10,2020-01-24,746,3252
10,2020-01-26,518,3770
10,2020-02-04,830,4600
10,2020-02-05,925,5525
10,2020-02-08,214,5739
10,2020-02-13,399,6138
10,2020-03-03,983,7121
10,2020-03-04,282,7403
10,2020-03-26,146,7549
10,2020-04-04,328,7877
10,2020-04-06,307,8184
10,2020-04-09,492,9526
10,2020-04-09,850,9526
10,2020-04-10,974,10500
11,2020-01-19,60,60
11,2020-01-20,947,1864
11,2020-01-20,448,1864
11,2020-01-20,409,1864
11,2020-02-04,350,2214
11,2020-02-25,375,2589
11,2020-03-07,320,2909
11,2020-03-15,549,3458
11,2020-03-19,316,4580
11,2020-03-19,806,4580
11,2020-03-20,302,5019
11,2020-03-20,137,5019
11,2020-03-23,178,5197
11,2020-03-24,852,6049
11,2020-03-31,579,6638
11,2020-03-31,10,6638
11,2020-04-16,328,6966
12,2020-01-13,202,202
12,2020-01-28,110,312
12,2020-03-18,739,1051
12,2020-03-23,942,1993
13,2020-01-02,566,566
13,2020-01-04,87,653
13,2020-01-08,107,760
13,2020-01-22,858,1618
13,2020-01-28,664,2282
13,2020-02-04,55,2337
13,2020-02-12,456,2793
13,2020-02-13,149,3693
13,2020-02-13,751,3693
13,2020-03-09,543,4236
13,2020-03-13,95,4331
13,2020-03-14,665,4996
13,2020-03-16,99,5095
14,2020-01-25,205,205
14,2020-02-22,616,821
14,2020-04-05,588,2165
14,2020-04-05,756,2165
15,2020-01-25,379,379
15,2020-04-02,723,1102
16,2020-01-13,421,421
16,2020-01-17,814,1764
16,2020-01-17,529,1764
16,2020-01-20,159,1923
16,2020-01-22,239,2892
16,2020-01-22,730,2892
16,2020-01-25,160,3052
16,2020-01-30,391,3443
16,2020-02-02,919,4362
16,2020-02-09,429,4791
16,2020-02-13,928,6318
16,2020-02-13,599,6318
16,2020-02-26,515,6833
16,2020-03-01,314,7147
16,2020-03-13,903,8050
16,2020-03-23,174,8224
16,2020-04-11,862,9086
17,2020-01-19,465,465
17,2020-02-09,915,1380
17,2020-02-28,442,1822
18,2020-01-17,757,757
18,2020-02-06,865,1622
18,2020-02-13,316,1938
18,2020-03-08,588,2526
18,2020-03-12,354,2880
18,2020-03-17,558,3438
18,2020-03-25,374,3812
18,2020-04-03,27,3839
19,2020-01-17,47,47
19,2020-01-22,59,106
19,2020-02-06,61,167
19,2020-02-21,178,345
19,2020-03-03,509,854
19,2020-03-10,559,1413
19,2020-04-07,343,1756
20,2020-01-18,868,868
20,2020-01-28,403,1271
20,2020-02-06,512,1783
20,2020-02-13,40,1823
20,2020-02-15,156,1979
20,2020-02-24,342,2321
20,2020-03-10,257,2578
21,2020-01-12,28,326
21,2020-01-12,298,326
21,2020-01-15,497,823
21,2020-01-20,445,1268
21,2020-01-27,412,1680
21,2020-02-07,637,2317
21,2020-02-18,348,2665
21,2020-02-26,694,3359
21,2020-02-28,269,3628
21,2020-03-03,605,4261
21,2020-03-03,28,4261
21,2020-03-06,713,4974
21,2020-03-17,103,5077
21,2020-03-22,406,5483
21,2020-03-23,489,5972
21,2020-03-30,398,6370
21,2020-04-03,531,6901
21,2020-04-04,848,7749
22,2020-01-19,794,794
22,2020-01-28,559,1353
22,2020-02-02,490,1843
22,2020-02-04,544,2387
22,2020-02-09,842,3229
22,2020-02-11,783,4012
22,2020-02-24,272,4284
22,2020-02-26,863,5147
22,2020-02-29,730,5877
22,2020-03-05,532,6409
22,2020-03-16,865,7274
22,2020-03-17,370,7644
22,2020-03-27,394,8038
22,2020-03-29,801,8839
22,2020-03-30,544,9383
22,2020-04-05,80,9463
22,2020-04-09,728,10191
22,2020-04-14,875,11066
22,2020-04-17,982,12048
23,2020-01-21,334,334
23,2020-01-22,240,574
23,2020-02-12,408,982
23,2020-03-08,834,1816
23,2020-03-31,676,2492
23,2020-04-08,522,3014
24,2020-01-26,615,615
24,2020-02-07,505,1120
24,2020-02-09,149,1269
24,2020-02-12,440,1927
24,2020-02-12,218,1927
24,2020-02-17,275,2202
24,2020-02-29,355,2557
24,2020-03-06,289,2846
24,2020-03-09,545,3666
24,2020-03-09,275,3666
25,2020-01-28,174,174
25,2020-02-08,259,433
25,2020-02-13,833,1266
25,2020-03-05,430,1696
25,2020-03-09,123,1819
25,2020-03-18,629,2448
25,2020-03-19,185,2633
25,2020-03-21,683,3316
25,2020-04-09,769,4085
25,2020-04-17,432,4517
25,2020-04-24,285,4802
26,2020-01-17,878,878
26,2020-01-26,338,1314
26,2020-01-26,98,1314
26,2020-02-06,352,1666
26,2020-02-27,300,1983
26,2020-02-27,17,1983
26,2020-03-06,192,2175
26,2020-03-10,381,2556
26,2020-03-11,437,2993
26,2020-03-13,35,3028
26,2020-04-04,456,3484
26,2020-04-13,792,4276
27,2020-01-01,809,809
27,2020-01-02,604,1413
27,2020-01-05,161,1574
27,2020-01-08,134,1708
27,2020-01-16,263,1971
27,2020-01-21,843,2814
27,2020-01-25,583,3397
27,2020-02-02,666,4063
27,2020-02-07,734,4797
27,2020-02-14,690,5487
27,2020-02-16,505,5992
27,2020-02-25,692,6684
27,2020-02-28,911,7595
27,2020-03-03,769,8364
27,2020-03-11,992,9356
27,2020-03-12,175,9531
27,2020-03-13,71,9602
27,2020-03-14,490,10092
27,2020-03-16,521,10613
27,2020-03-25,569,11182
28,2020-01-20,451,451
28,2020-02-02,387,838
28,2020-02-12,882,1720
28,2020-03-16,274,1994
28,2020-03-17,501,2495
28,2020-03-25,183,2678
28,2020-04-06,677,3355
